"","CO2.emissions","Air.Pollution","Protected.Land","Education","Women.Parliament","Child.Mortality","Water","GINI","Youth.Unemployment","Hunger","Violence","Internet","Protected.Sea","Sanitation","Poverty","Alternative.Energy","oneoverco2","oneoverpl","oneoverps"
"1",0.133543433,NA,NA,0.8323694,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43254410640763,NA,NA
"2",0.153029886,NA,NA,0.8063553,NA,24.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49224657609628,NA,NA
"3",0.166305908,NA,NA,0.8935826,NA,24.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97707523872976,NA,NA
"4",0.206086492,NA,NA,0.8841903,NA,23.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82890018727054,NA,NA
"5",0.238811797,NA,NA,0.874798,NA,22.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1699366441093,NA,NA
"6",0.304391188,NA,NA,0.8668026,NA,21.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27448871903927,NA,NA
"7",0.279035385,NA,NA,0.8761817,NA,21.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57097728917365,NA,NA
"8",0.282405657,NA,NA,0.86966475,NA,20.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52851107696838,NA,NA
"9",0.260374482,NA,NA,0.8631478,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82592819447462,NA,NA
"10",0.247511284,NA,NA,0.8682753,NA,18.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02396214732849,NA,NA
"11",0.228187363,0.7341810396,0.99633117381,0.8868771,0.963,17.91,NA,NA,NA,NA,NA,1,0.99780940524,NA,NA,NA,4.3632423136698,1.00267596788317,1.00119201396558
"12",0.197712615,0.7092536999,0.99633117968,0.8375063,0.947266666666667,17.15,0.952,NA,0.185,NA,NA,0.999957067563636,0.997045585743,0.791,NA,NA,5.03239313719464,1.00267596198171,1.00195824147205
"13",0.103278005,0.7063046363,0.99633117968,0.8387392,0.931533333333333,16.46,0.951,NA,0.185,NA,NA,0.999914135127273,0.996281766246,0.791,NA,NA,9.5897500148761,1.00267596198171,1.00272564268796
"14",0.090615852,0.7056628169,0.99633117968,0.8399721,0.9158,15.84,0.951,NA,0.185,NA,NA,0.999871202690909,0.995517946749,0.79,NA,NA,10.915141628547,1.00267596198171,1.0034942203122
