,Goal,Target,Indicator,SeriesCode,Units,Nature,UpperBound,LowerBound,SeriesDescription,Source (can differ),FootNote (can differ)
0,1,1.1,1.1.1,SI_POV_DAY1,PERCENT,G,,,Proportion of population below international poverty line (%),"World Development Indicators database, World Bank",Estimated from unit-record consumption data.
1,1,1.1,1.1.1,SI_POV_EMP1,PERCENT,M,,,"Employed population below international poverty line, by sex and age (%)","ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",
2,1,1.2,1.2.1,SI_POV_NAHC,PERCENT,CA,,,Proportion of population living below the national poverty line (%),"World Development Indicators database, World Bank","Source: National Statictis and Information Authority (NSIA), World Bank staff estimates based om NRVA 2007-08, 2011-12 and ALCS 2016-17. Poverty line is absolute."
3,1,1.3,1.3.1,SI_COV_MATNL,PERCENT,E,,,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
4,1,1.3,1.3.1,SI_COV_POOR,PERCENT,E,,,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
5,1,1.3,1.3.1,SI_COV_SOCAST,PERCENT,CA,,,[World Bank] Proportion of population covered by social assistance programs (%),"Central Statistics Organisation (CSO), Ministry of Rural Rehabilitation and Development (MRRD)",National Risk and Vulnerability Assesment (NRVA) 2007-2008
6,1,1.3,1.3.1,SI_COV_SOCASTPQ,PERCENT,CA,,,[World Bank] Poorest quintile covered by social assistance programs (%),"Central Statistics Organisation (CSO), Ministry of Rural Rehabilitation and Development (MRRD)",National Risk and Vulnerability Assesment (NRVA) 2007-2008
7,1,1.3,1.3.1,SI_COV_SOCINS,PERCENT,CA,,,[World Bank] Proportion of population covered by social insurance programs (%),"Central Statistics Organisation (CSO), Ministry of Rural Rehabilitation and Development (MRRD)",National Risk and Vulnerability Assesment (NRVA) 2007-2008
8,1,1.3,1.3.1,SI_COV_CHLD,PERCENT,E,,,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
9,1,1.3,1.3.1,SI_COV_SOCINSPQ,PERCENT,CA,,,[World Bank] Poorest quintile covered by social insurance programs (%),"Central Statistics Organisation (CSO), Ministry of Rural Rehabilitation and Development (MRRD)",National Risk and Vulnerability Assesment (NRVA) 2007-2008
10,1,1.3,1.3.1,SI_COV_UEMP,PERCENT,E,,,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-15,ILO estimates based on country data
11,1,1.3,1.3.1,SI_COV_VULN,PERCENT,E,,,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
12,1,1.3,1.3.1,SI_COV_WKINJRY,PERCENT,E,,,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
13,1,1.3,1.3.1,SI_COV_BENFTS,PERCENT,E,,,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,"ILO estimates based on country data, refers to the population effectively covered by at least one social protection cash transfer"
14,1,1.3,1.3.1,SI_COV_DISAB,PERCENT,E,,,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3,ILO estimates based on country data
15,1,1.3,1.3.1,SI_COV_LMKT,PERCENT,CA,,,[World Bank] Proportion of population covered by labour market programs (%),Institute of Statistics of Albania,Living Standards Measurement Survey
16,1,1.3,1.3.1,SI_COV_LMKTPQ,PERCENT,CA,,,[World Bank] Poorest quintile covered by labour market programs (%) ,Institute of Statistics of Albania,Living Standards Measurement Survey
17,1,1.3,1.3.1,SI_COV_PENSN,PERCENT,E,,,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-41,ILO estimates based on country data
18,1,1.4,1.4.1,SP_ACS_BSRVH2O,PERCENT,E,,,"Proportion of population using basic drinking water services, by location (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
19,1,1.4,1.4.1,SP_ACS_BSRVSAN,PERCENT,E,,,"Proportion of population using basic sanitation services, by location (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
20,1,1.5,1.5.2,VC_DSR_GDPLS,CU_USD,,,,Direct economic loss attributed to disasters (current United States dollars),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
21,1,1.5,1.5.1,VC_DSR_MISS,NUMBER,C,,,Number of missing persons due to disaster (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”
22,1,1.5,1.5.1,VC_DSR_AFFCT,NUMBER,,,,Number of people affected by disaster (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
23,1,1.5,1.5.1,VC_DSR_MORT,NUMBER,C,,,Number of deaths due to disaster (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”
24,1,1.5,1.5.1,VC_DSR_MTMP,PER_100000_POP,C,,,"Number of deaths and missing persons attributed to disasters per 100,000 population (number)",United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.
25,1,1.5,1.5.1,VC_DSR_MTMN,NUMBER,C,,,Number of deaths and missing persons attributed to disasters (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”
26,1,1.5,1.5.1,VC_DSR_DAFF,PER_100000_POP,,,,"Number of directly affected persons attributed to disasters per 100,000 population (number)",United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”. The nature of this data is a combination of C (Country) and E (Estimated).
27,1,1.5,1.5.1,VC_DSR_IJILN,NUMBER,C,,,Number of injured or ill people attributed to disasters (number),United Nations Office for Disaster Risk Reduction (2019),Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.”
