country,year,CO2pc,1.4.1.SP_ACS_BSRVH2O.ALLAREA.BOTHSEX.ALLAGE,1.4.1.SP_ACS_BSRVSAN.ALLAREA.BOTHSEX.ALLAGE,1.4.1.SP_ACS_BSRVH2O.RURAL.BOTHSEX.ALLAGE,1.4.1.SP_ACS_BSRVSAN.RURAL.BOTHSEX.ALLAGE,1.4.1.SP_ACS_BSRVH2O.URBAN.BOTHSEX.ALLAGE,1.4.1.SP_ACS_BSRVSAN.URBAN.BOTHSEX.ALLAGE,2.a.2.DC_TOF_AGRL.ALLAREA.BOTHSEX.ALLAGE,2.1.1.SN_ITK_DEFC.ALLAREA.BOTHSEX.ALLAGE,2.1.1.SN_ITK_DEFCN.ALLAREA.BOTHSEX.ALLAGE,3.b.2.DC_TOF_HLTHL.ALLAREA.BOTHSEX.ALLAGE,3.b.1.SH_ACS_DTP3.ALLAREA.BOTHSEX.ALLAGE,3.1.1.SH_STA_MMR.ALLAREA.BOTHSEX.ALLAGE,3.3.2.SH_TBS_INCID.ALLAREA.BOTHSEX.ALLAGE,3.2.1.SH_DYN_IMRT.ALLAREA.BOTHSEX.YOUNG,3.2.1.SH_DYN_IMRTN.ALLAREA.BOTHSEX.YOUNG,3.2.1.SH_DYN_MORT.ALLAREA.BOTHSEX.YOUNG,3.2.1.SH_DYN_MORTN.ALLAREA.BOTHSEX.YOUNG,3.2.2.SH_DYN_NMRT.ALLAREA.BOTHSEX.YOUNG,3.2.2.SH_DYN_NMRTN.ALLAREA.BOTHSEX.YOUNG,3.2.1.SH_DYN_IMRT.ALLAREA.FEMALE.YOUNG,3.2.1.SH_DYN_IMRTN.ALLAREA.FEMALE.YOUNG,3.2.1.SH_DYN_MORT.ALLAREA.FEMALE.YOUNG,3.2.1.SH_DYN_MORTN.ALLAREA.FEMALE.YOUNG,3.2.1.SH_DYN_IMRT.ALLAREA.MALE.YOUNG,3.2.1.SH_DYN_IMRTN.ALLAREA.MALE.YOUNG,3.2.1.SH_DYN_MORT.ALLAREA.MALE.YOUNG,3.2.1.SH_DYN_MORTN.ALLAREA.MALE.YOUNG,5.5.1.SG_GEN_PARLNT.ALLAREA.BOTHSEX.ALLAGE,5.5.1.SG_GEN_PARL.ALLAREA.FEMALE.ALLAGE,5.5.1.SG_GEN_PARLN.ALLAREA.FEMALE.ALLAGE,6.a.1.DC_TOF_WASHL.ALLAREA.BOTHSEX.ALLAGE,6.2.1.SH_SAN_DEFECT.ALLAREA.BOTHSEX.ALLAGE,6.2.1.SH_SAN_DEFECT.RURAL.BOTHSEX.ALLAGE,6.2.1.SH_SAN_SAFE.RURAL.BOTHSEX.ALLAGE,6.1.1.SH_H2O_SAFE.URBAN.BOTHSEX.ALLAGE,6.2.1.SH_SAN_DEFECT.URBAN.BOTHSEX.ALLAGE,7.3.1.EG_EGY_PRIM.ALLAREA.BOTHSEX.ALLAGE,7.1.1.EG_ELC_ACCS.ALLAREA.BOTHSEX.ALLAGE,7.2.1.EG_FEC_RNEW.ALLAREA.BOTHSEX.ALLAGE,7.1.1.EG_ELC_ACCS.RURAL.BOTHSEX.ALLAGE,7.1.1.EG_ELC_ACCS.URBAN.BOTHSEX.ALLAGE,8.1.1.NY_GDP_PCAP.ALLAREA.BOTHSEX.ALLAGE,8.2.1.SL_EMP_PCAP.ALLAREA.BOTHSEX.ALLAGE,9.a.1.DC_TOF_INFRAL.ALLAREA.BOTHSEX.ALLAGE,9.2.1.NV_IND_MANF.ALLAREA.BOTHSEX.ALLAGE,9.2.1.NV_IND_MANFPC.ALLAREA.BOTHSEX.ALLAGE,9.b.1.NV_IND_TECH.ALLAREA.BOTHSEX.ALLAGE,10.b.1.DC_TRF_TOTL.ALLAREA.BOTHSEX.ALLAGE,15.a.1.DC_ODA_BDVL.ALLAREA.BOTHSEX.ALLAGE,15.b.1.DC_ODA_BDVL.ALLAREA.BOTHSEX.ALLAGE,15.1.2.ER_PTD_FRWRT.ALLAREA.BOTHSEX.ALLAGE,15.4.1.ER_PTD_MOTN.ALLAREA.BOTHSEX.ALLAGE,15.1.2.ER_PTD_TERRS.ALLAREA.BOTHSEX.ALLAGE,15.5.1.ER_RSK_LSTI.ALLAREA.BOTHSEX.ALLAGE,17.3.2.BX_TRF_PWKR.ALLAREA.BOTHSEX.ALLAGE,17.9.1.DC_FTA_TOTAL.ALLAREA.BOTHSEX.ALLAGE,17.4.1.DT_TDS_DECT.ALLAREA.BOTHSEX.ALLAGE,17.8.1.IT_USE_ii99.ALLAREA.BOTHSEX.ALLAGE
Bangladesh,2000,0.209033529,95.21504,25.64404,94.15292,20.06339,98.65534,43.720240000000004,333.55356,20.8,27.3,92.500884,82.0,399.0,221.0,64.0,230663.0,87.4,315996.0,42.4,154345.0,59.5,104753.0,84.0,148230.0,68.3,125910.0,90.8,167766.0,330.0,9.0909,30.0,84.42272,17.683770000000003,21.53814,13.785110000000001,44.55809,5.19914,3.59,32.0,59.01,16.73416,81.2,3.89,2.4,626.1352,13.54,67.4,21.08,1038.7103,,,20.760839999999998,0.0,37.795809999999996,0.83352,3.6866,198.36992,10.29935,0.07
Bangladesh,2001,0.23819657600000002,95.38698000000001,26.97425,94.3469,21.40944,98.66331,44.50379,99.81012,18.7,25.1,36.009137,85.0,384.0,221.0,61.0,218815.0,82.8,297835.0,40.8,147504.0,56.7,99416.0,79.4,139469.0,65.1,119399.0,86.1,158366.0,330.0,1.8182,6.0,137.54058,16.52019,20.2159,14.7132,44.561679999999996,4.87845,3.74,35.13769,55.8,21.614420000000003,77.59821,3.29,2.6,392.96634,13.72,70.6,21.08,872.8753,,,20.760839999999998,0.0,37.92072,0.82921,3.89795,207.80215,9.41041,0.13
Bangladesh,2002,0.24293710300000002,95.5634,28.333479999999998,94.54088,22.755489999999998,98.67126999999999,45.28734,76.38967,18.2,24.8,41.562424,83.0,365.0,221.0,58.2,207281.0,78.4,280208.0,39.3,140656.0,54.1,94087.0,74.9,130820.0,62.1,113194.0,81.6,149388.0,330.0,1.8182,6.0,36.92321,15.34467,18.89366,15.64129,44.56528,4.55776,3.7,37.68841,54.34,24.15926,78.65479,2.51,1.5,293.34767999999997,13.87,73.1,21.08,789.1519900000001,5.33448,5.33448,20.760839999999998,0.0,37.92072,0.82316,5.22267,140.26856,10.00799,0.14
Bangladesh,2003,0.252775808,95.73788,29.688129999999997,94.73486,24.10154,98.67924000000001,46.070879999999995,76.10395,17.5,24.4,37.062303,87.0,349.0,221.0,55.5,195945.0,74.1,262986.0,37.8,133963.0,51.6,88950.0,70.7,122584.0,59.2,106995.0,77.4,140402.0,300.0,2.0,6.0,21.187279999999998,14.180629999999999,17.57142,16.56938,44.56888,4.23707,3.66,40.21992,52.66,26.66602,79.71645,3.42,2.4,503.4462,14.06,76.6,20.55,1179.03569,65.20401,65.20401,20.760839999999998,0.0,37.92072,0.82021,5.30539,184.40972,8.09227,0.16
Bangladesh,2004,0.262985794,95.91029,31.037770000000002,94.92883,25.447589999999998,98.68721,46.85443,63.49149,17.1,24.1,34.805594,99.0,333.0,221.0,53.0,184889.0,70.1,246255.0,36.3,127287.0,49.2,83845.0,66.7,114463.0,56.6,101044.0,73.4,131792.0,300.0,2.0,6.0,18.7882,13.0286,16.24918,17.49747,44.57248,3.9163900000000003,3.59,40.6,52.15,27.98524,76.6,4.55,2.7,442.20152,14.17,80.8,20.55,1539.88569,25.79926,25.79926,20.760839999999998,0.0,37.92072,0.81696,5.50437,337.54615,6.82865,0.2
Bangladesh,2005,0.27132119600000004,96.00988000000001,32.41222,95.06603,26.996990000000004,98.58666,47.19631,65.69599000000001,16.6,23.8,61.01299100000001,93.0,319.0,221.0,50.4,173970.0,66.2,229990.0,34.9,120571.0,46.8,78806.0,62.8,106638.0,53.9,95164.0,69.4,123352.0,300.0,2.0,6.0,24.15633,11.88915,14.92695,18.56596,44.57608,3.5957,3.52,44.23,50.81,30.16573,82.61,4.39,4.0,405.28508,14.47,86.1,17.53,1624.7675,43.53821,43.53821,20.760839999999998,0.0,37.92072,0.8125,6.68518,190.52719,6.863110000000001,0.24
Bangladesh,2006,0.295496227,96.10641,33.783159999999995,95.20299999999999,28.566809999999997,98.48608,47.52366,68.93298,16.3,23.8,145.264081,94.0,303.0,221.0,48.0,163354.0,62.5,214256.0,33.4,113958.0,44.5,73996.0,59.2,99135.0,51.3,89358.0,65.7,115121.0,345.0,14.7826,51.0,34.88839,10.76229,13.60471,19.64854,44.579679999999996,3.27501,3.54,50.5251,48.94,40.3114,77.79914000000001,5.21,4.0,209.80667000000003,15.03,94.1,20.17,1136.1958300000001,81.49929,81.49929,20.760839999999998,0.0,37.92072,0.80711,7.55721,235.30549,5.013330000000001,1.0
Bangladesh,2007,0.29744924,96.19977,35.1492,95.33974,30.157059999999998,98.3855,47.83648,73.52145,16.3,23.9,66.871914,94.0,288.0,221.0,45.6,153069.0,58.9,199354.0,32.0,107454.0,42.3,69284.0,55.7,92050.0,48.8,83785.0,62.0,107304.0,,,,242.11467000000002,9.648480000000001,12.28247,20.74523,44.58328,2.95432,3.42,46.5,47.52,32.36705,82.1,5.77,5.4,250.20102000000003,15.52,102.7,17.53,1520.26435,3.8081400000000003,3.8081400000000003,20.760839999999998,0.0,37.92072,0.80371,8.24288,239.85927999999998,6.3777,1.8
Bangladesh,2008,0.324635257,96.28985,36.50894,95.47625,31.767740000000003,98.28489,48.13476,171.47856000000002,16.4,24.4,146.910185,96.0,273.0,221.0,43.3,143395.0,55.6,185347.0,30.5,100975.0,40.1,64817.0,52.4,85361.0,46.4,78578.0,58.6,99986.0,,,,154.51181,8.54818,10.960230000000001,21.855999999999998,44.586870000000005,2.63364,3.35,52.61421,45.62,39.20994,85.2095,4.83,4.6,366.32457999999997,15.71,109.0,17.53,2534.26537,66.87916,66.87916,20.760839999999998,0.0,37.92072,0.80019,9.75716,387.62737999999996,4.8038,2.5
Bangladesh,2009,0.34756379200000004,96.37656,37.86105,95.61251999999999,33.39886,98.18427,48.41852,123.96495,16.6,25.0,145.424319,97.0,258.0,221.0,41.1,134276.0,52.3,172215.0,28.9,94676.0,38.0,60722.0,49.3,79232.0,44.0,73554.0,55.2,92983.0,300.0,6.3333,19.0,82.30228000000001,7.4618,9.63799,22.98088,44.59047,2.31295,3.36,55.11505,43.72,41.81803,86.34741,3.89,4.3,266.18222000000003,15.96,115.0,9.14,1943.19533,38.92181,38.92181,20.760839999999998,0.0,42.79444,0.79645,10.26628,173.79308999999998,5.4252,3.1
